CODE;GROUP_CODE;NAME
3798;Hotel/Motel (Lodging);3798 EMBASSY VACATION RESORT
3570;Hotel/Motel (Lodging);3570 Forum Hotels
3574;Hotel/Motel (Lodging);3574 Venture Inn
3581;Hotel/Motel (Lodging);3581 Delta Hotels
3587;Hotel/Motel (Lodging);3587 Doral Hotels
3633;Hotel/Motel (Lodging);3633 Rank-hotels
3642;Hotel/Motel (Lodging);3642 Novotel Sieh (Accor)
3646;Hotel/Motel (Lodging);3646 Swallow Hotels
3647;Hotel/Motel (Lodging);3647 Grupo Hotels Husa SA
3648;Hotel/Motel (Lodging);3648 De Vera Hotels
3657;Hotel/Motel (Lodging);3657 Oberoi Hotels
3660;Hotel/Motel (Lodging);3660 Knights Inn
3665;Hotel/Motel (Lodging);3665 Hampton Inns
3668;Hotel/Motel (Lodging);3668 Maritim Hotels
3691;Hotel/Motel (Lodging);3691 Dillin Inn
3713;Hotel/Motel (Lodging);3713 Quality Pacific Hotel
3715;Hotel/Motel (Lodging);3715 Fairfield Inn
3718;Hotel/Motel (Lodging);3718 Karos Hotels
3722;Hotel/Motel (Lodging);3722 Wyndham
3723;Hotel/Motel (Lodging);3723 Rica Hotels
3729;Hotel/Motel (Lodging);3729 John Ascuaga's Nugget
3580;Hotel/Motel (Lodging);3580 HOTEL DEL CORONADO
7379;Mail/Telephone/Preauth order;7379 Computer Main/Repair Servic
4813;Mail/Telephone/Preauth order;4813 Key-Enter Telecom Merchant
4815;Mail/Telephone/Preauth order;4815 Monthly Summary Telephone C
4816;Mail/Telephone/Preauth order;4816 Computer Network/Informatio
6531;Mail/Telephone/Preauth order;6531 Payment Service Provider - 
5815;Mail/Telephone/Preauth order;5815 Digital Goods - Audiovisual Media Including Books, Movies, and Music
3039;Transportation;3039 Avianca
3047;Transportation;3047 TURKISH AIRLINES
3055;Transportation;3055 LAB (Bolivia)
3071;Transportation;3071 Air British Columbia
3088;Transportation;3088 Croatia Air
3090;Transportation;3090 Qatar Airways Company W.L.L
3103;Transportation;3103 Garuda (Indonesia)
3112;Transportation;3112 Windward Island
3129;Transportation;3129 Surinam Airways
3159;Transportation;3159 PBA
3175;Transportation;3175 Middle East Air
3178;Transportation;3178 Mesa Air
3187;Transportation;3187 LACSA
3215;Transportation;3215 Dan Air Services
3222;Transportation;3222 Command Airways
3253;Transportation;(Obsolete) 3253 America West
3254;Transportation;3254 Trump Airline  Trumpair
3029;Transportation;3029 Sabena
3033;Transportation;3033 Ansett Airlines
3034;Transportation;3034 TAA (Australia)
3037;Transportation;3037 EgyptAir
3266;Transportation;3266 Air Seychelles
3280;Transportation;3280 Air Jamaica
3293;Transportation;3293 Equatoriana
3294;Transportation;3294 Ethiopian Airlines
4511;Transportation;4511 Airlines, Air Carriers
3016;Transportation;3016 SAS
3021;Transportation;3021 Air Algerie Airalgerei
3132;Transportation;3132 Frontier Airlines
3206;Transportation;3206 China Eastern Airlines
3245;Transportation;3245 EASYJET
7519;Vehicle Rental;7519 Motor Home & Recreational V
3362;Vehicle Rental;3362 Altra Auto Rental
3389;Vehicle Rental;3389 Avis Rent-A-Car
3394;Vehicle Rental;3394 Kemwell Group Rent-A-Car
3412;Vehicle Rental;3412 A1 Rent-A-Car
3423;Vehicle Rental;3423 Avcar Rent-A-Car
6051;Unique;6051 Foreign Currency,Money,TC's
4829;Unique;4829 Money Transfer
6010;  Cash;6010 POS Cash
7297;Retail Purchase;7297 Massage Parlors
7299;Retail Purchase;7299 Other Services (Not Elsewhe
7361;Retail Purchase;7361 Employment Agencies
7372;Retail Purchase;7372 Computer And Data Processin
7375;Retail Purchase;7375 Info Retrieval Services
7393;Retail Purchase;7393 Detective Agencies
7394;Retail Purchase;7394 Equipment Rental & Leasing
7535;Retail Purchase;7535 Automotive Paint Shops
4582;Retail Purchase;4582 Airports,flying Fields
4812;Retail Purchase;4812 Telephone Service/Equip....
5111;Retail Purchase;5111 Stationery/Off-Supp/Printin
5131;Retail Purchase;5131 Piece Goods/Nations Dry Goo
5137;Retail Purchase;5137 Men/Women/Child Uniforms/Co
5172;Retail Purchase;5172 Petroleum/Petrol Products
5310;Retail Purchase;5310 Discount stores
7993;Retail Purchase;7993 Video Amusement Game Suppli
7998;Retail Purchase;7998 Aquariums,seaquariums
8099;Retail Purchase;8099 Medical Services
8241;Retail Purchase;8241 Correspondence Schools
8999;Retail Purchase;8999 Services,not Elsewhere Clas
9211;Retail Purchase;9211 Court Costs
5971;Retail Purchase;5971 Art Dealers & Galleries
5972;Retail Purchase;5972 Stamp & Coin Stores
5983;Retail Purchase;5983 Fuel Dealers - Fuel Oil
